"","V1"
"1198",0.999135486938158
"1199",0.938936604038832
"1200",0.979295115965442
"1201",1
"1202",1
"1203",1
"1204",0.921571609596411
"1205",0.996248784111407
"1206",0.870386125510182
"1207",0.7847964750131
"1208",0.856624638438623
"1209",0.918249180061041
"1210",0.886436514758666
"1211",0.932532269648027
"1212",0.922750864235163
"1213",0.991308425161628
"1214",0.994641541343812
"1215",0.95436485797916
"1216",1
"1217",0.870331293355378
"1218",0.774806840445839
"1219",0.787402402682677
"1220",0.740904193376453
"1221",0.668763076019465
"1222",0.629144728508164
"1223",0.583736239290313
"1224",0.572876784465293
"1225",0.571381134949126
"1226",0.606229638287284
"1227",0.571489753181106
"1228",0.565293035632643
"1229",0.574711510460637
"1230",0.578952981060755
"1231",0.612321960610714
"1232",0.618455736438072
"1233",0.630318097559953
"1234",0.689762870502324
"1235",0.735602998118878
"1236",0.815827396565034
"1237",0.771462283707711
"1238",0.698439070772226
"1239",0.841443830100154
"1240",0.816043790948878
"1241",0.832036590370736
"1242",0.909623965543667
"1243",0.897596493256931
"1244",0.912167851046999
"1245",0.831572511519755
"1246",0.938216882514641
"1247",1
"1248",1
"1249",1
"1250",1
"1251",1
"1252",1
"1253",1
"1254",1
"1255",1
"1256",1
"1257",1
"1258",1
"1259",1
"1260",1
"1261",1
"1262",1
"1263",1
"1264",1
"1265",1
"1266",1
"1267",1
"1268",1
"1269",1
"1270",1
"1271",1
"1272",1
"1273",1
"1274",1
"1275",1
"1276",1
"1277",1
"1278",1
"1279",1
"1280",1
"1281",1
"1282",0.859740569209951
"1283",0.814279938875684
"1284",0.769282996674295
"1285",0.655938911664639
"1286",0.796131213147186
"1287",0.861218562368306
"1288",0.884314584956247
"1289",0.831626926210902
"1290",0.739102788228917
"1291",0.838834605170191
"1292",0.767345913040638
"1293",0.869994165188308
"1294",0.778112262951837
"1295",0.678194180328025
"1296",0.721819806107674
"1297",0.699011146442431
"1298",0.72993681408395
"1299",0.80349002176981
"1300",0.851460045895178
"1301",0.763757275295872
"1302",0.801341860323267
"1303",0.820334918981549
"1304",0.973927074785902
"1305",0.952361630924985
"1306",0.923347483202858
"1307",0.893158922064943
"1308",0.804751642076261
"1309",0.759611381030559
"1310",0.815807786915198
"1311",0.775125339869794
"1312",0.736803065128001
"1313",0.70287139976673
"1314",0.769913364798336
"1315",0.679838752796034
"1316",0.603150262158794
"1317",0.597407383121333
"1318",0.544130530819769
"1319",0.522120745443366
"1320",0.511832575223729
"1321",0.465138013319289
"1322",0.434257540035618
"1323",0.48280534888698
"1324",0.476190770236298
"1325",0.515034456799632
"1326",0.512344839038988
"1327",0.56140359910292
"1328",0.560467796097921
"1329",0.545757200754684
"1330",0.54128336005697
"1331",0.558490490515902
"1332",0.602713213906875
"1333",0.569160893630654
"1334",0.651040484794182
"1335",0.693368073876874
"1336",0.708303732198472
"1337",0.714764271730692
"1338",0.75239042124837
"1339",0.774215753862718
"1340",0.7455143223434
"1341",0.736345203758813
"1342",0.778522296810239
"1343",0.841257716936832
"1344",0.992798831328663
"1345",0.929538503215006
"1346",1
"1347",1
"1348",1
"1349",1
"1350",1
"1351",1
"1352",1
"1353",1
"1354",1
"1355",1
"1356",1
"1357",1
"1358",1
"1359",1
"1360",1
"1361",1
"1362",1
"1363",1
"1364",1
"1365",1
"1366",1
"1367",1
"1368",1
"1369",1
"1370",1
"1371",1
"1372",1
"1373",1
"1374",1
"1375",1
"1376",1
"1377",1
"1378",0.947546562732646
"1379",0.795658136344609
"1380",0.805649148431558
"1381",0.834534997396381
"1382",0.796333660652441
"1383",0.875018364011317
"1384",0.793224632552232
"1385",0.819836639853266
"1386",0.763254618626391
"1387",0.701159899619298
"1388",0.692880690626855
"1389",0.677663182343254
"1390",0.711139445328452
"1391",0.674222107899284
"1392",0.697003372450463
"1393",0.669595192209188
"1394",0.680955014033
"1395",0.703969364263021
"1396",0.689763115782359
"1397",0.732130766587787
"1398",0.709778393466055
"1399",0.670463312640655
"1400",0.708454101475279
"1401",0.695936858331611
"1402",0.61261247765703
"1403",0.758405214814619
"1404",0.739886589502353
"1405",0.790630881358877
"1406",0.869793721479185
"1407",0.741698968012598
"1408",0.64273008351318
"1409",0.587953801873466
"1410",0.654163384433117
"1411",0.64615344763331
"1412",0.67866034783867
"1413",0.654741438829996
"1414",0.585850081945489
"1415",0.550546559451975
"1416",0.589757108311555
"1417",0.560488279062377
"1418",0.606944558406406
"1419",0.562273488699078
"1420",0.565365688016036
"1421",0.55324157501678
"1422",0.559538689761298
"1423",0.610578770113257
"1424",0.662699784905687
"1425",0.685235228182708
"1426",0.667148545372057
"1427",0.733123396596122
"1428",0.753359384363485
"1429",0.717678767253667
"1430",0.687728435741138
"1431",0.721625769760866
"1432",0.70681129747193
"1433",0.785056314740365
"1434",0.855140488829811
"1435",0.892476830774425
"1436",0.97913962885881
"1437",0.856830648459635
"1438",1
"1439",1
"1440",1
"1441",1
"1442",1
"1443",1
"1444",1
"1445",1
"1446",1
"1447",1
"1448",1
"1449",1
"1450",1
"1451",1
"1452",1
"1453",1
"1454",1
"1455",1
"1456",1
"1457",1
"1458",1
"1459",1
"1460",1
"1461",1
"1462",1
"1463",1
"1464",1
"1465",1
"1466",1
"1467",1
"1468",0.985088236865277
"1469",0.991309419444588
"1470",0.937079925055929
"1471",0.917975314725481
"1472",0.822420415317402
"1473",0.764925327488939
"1474",0.749947415132905
"1475",0.700003562452402
"1476",0.783150007411567
"1477",0.728877306733126
"1478",0.722439110430985
"1479",0.811340110455798
"1480",0.948056789250078
"1481",1
"1482",0.920215996638137
"1483",0.863114363192502
"1484",0.988811348101653
"1485",0.858990982269626
"1486",0.886566461860415
"1487",0.770962201615159
"1488",0.80199540999138
"1489",0.831444180039874
"1490",0.931056433908113
"1491",0.888972420506962
"1492",0.849008834243642
"1493",0.889457391344905
"1494",0.921325606239632
"1495",0.968350789208036
"1496",1
"1497",0.911924212915961
"1498",0.955937727493428
"1499",0.957818186338337
"1500",0.918662781352756
"1501",0.971644180349792
"1502",0.905751726096532
"1503",0.91043610216394
"1504",0.949885647024132
"1505",0.893078011875023
"1506",0.901506669130576
"1507",0.884231259066537
"1508",0.815710270470355
"1509",0.752646005901337
"1510",0.698793373474561
"1511",0.645437919513389
"1512",0.627652659448547
"1513",0.611717043635598
"1514",0.571290044141102
"1515",0.551670665154915
"1516",0.558022251128664
"1517",0.554620964834732
"1518",0.564596840140351
"1519",0.576697042698088
"1520",0.615388198411324
"1521",0.646152245559603
