"","V1","V2","V3"
"192",15.1839307856,0.0035002496,13.5972045945
"193",15.4142146185,0.0035078523,12.9330658645
"194",15.1578939016,0.0035128052,11.8784144119
"195",15.2255683069,0.0035084191,11.6151533334
"196",15.2244660258,0.0034952853,10.6508646145
"197",15.1576851403,0.0034931761,10.1510972147
"198",15.2228706144,0.0035110001,10.6255758848
"199",15.2304024705,0.0035115864,10.5157896895
"200",15.1458695703,0.0035200892,10.3655948912
"201",15.2795841676,0.0035277188,9.8389771346
"202",15.1710296649,0.0035149123,9.445564473
"203",15.2794048874,0.0046961477,9.7869703204
"204",15.6878382579,0.0038805491,9.4867621263
"205",15.4342711296,0.0035086451,9.5825770978
"206",15.3165116248,0.0035227081,9.2487073662
"207",15.4424981649,0.0052756196,9.2412286266
"208",15.2858321711,0.0068325377,9.1027560605
"209",15.3243170646,0.0048971794,9.8962427807
"210",15.4601790834,0.004912865,9.4727175304
"211",15.3142088284,0.0049011695,9.1712462822
"212",15.4192165742,0.0048908765,9.2360365955
"213",15.3700126767,0.0048764982,10.0071998866
"214",15.3120521374,0.0048728037,9.9845763039
"215",15.4710197168,0.0038258799,10.9412095321
"216",15.2988673752,0.0232899055,10.8605617147
"217",15.2053065297,0.2565005539,11.3885788293
"218",15.2064498429,0.3099529566,10.9447613984
"219",15.2015861722,0.2147533884,14.4745019254
"220",15.2029507473,0.3804902991,12.2034332809
"221",15.2068082191,0.2129179734,12.1269921886
"222",15.2053908473,0.3300444192,12.7627682955
"223",15.2041033672,0.5613559573,14.5670838559
"224",15.2015047957,0.61613502,13.8690092632
"225",15.2018071375,0.6258036064,16.982015544
"226",15.2013858899,0.3950050732,16.7285655221
"227",15.2012601038,0.6255827434,16.7439686951
"228",15.1939416748,1.3513378,18.1216950008
"229",15.201104772,2.0547075576,22.5551449181
"230",15.20957606,1.6500100743,21.1763819284
"231",15.2542655541,1.7851317778,16.6712197952
"232",15.2961992351,1.6316599194,15.9985616003
"233",15.3319220834,1.7420262545,15.5948306081
"234",15.4189925129,1.656530236,16.9020330531
"235",15.3799014281,1.7285814396,17.6854954595
"236",15.5184527391,1.6503831556,16.8952911848
"237",15.5505035339,1.7256337998,19.1203547761
"238",15.4674839655,1.6541184613,19.5340877678
"239",15.4863643709,1.5836352562,18.8248155296
"240",15.5431808428,1.3301385023,17.823751635
"241",15.5711088375,1.4071385503,17.0173222392
"242",15.4233506738,1.3941895384,19.5656493096
"243",15.6723710821,1.3986160438,17.094079689
"244",15.471378358,1.3750413617,18.3700714901
"245",15.568135235,1.3833175419,19.0323007237
"246",15.5264688451,1.6096529757,17.343757537
"247",15.628978532,1.6614571185,16.9799890418
"248",15.5867509393,1.9689626528,15.5027944664
"249",15.4154610062,1.6134117753,17.3499874724
"250",15.4539047646,1.7400967341,16.6558170558
"251",15.4548923365,1.523890973,16.1815392656
"252",15.3886379712,1.5958177638,15.7463883657
"253",15.316829931,1.5365879388,17.2413363758
"254",15.2865754689,1.8197678141,17.7117571457
"255",15.2001392156,1.5234310425,17.2232307418
"256",15.1808830189,1.8494611808,18.1655681823
"257",15.1791263888,1.5350067595,19.8604790484
"258",15.174741784,1.8230423745,22.7938811161
"259",15.1827275021,1.5794819016,22.135576511
"260",15.1848220571,1.7816654166,21.0696968956
"261",15.1853898814,1.6899879104,23.8073010898
"262",15.1849207462,1.8471256887,22.4328308011
"263",15.1882414323,1.7496974735,23.434987006
"264",15.1870503726,1.8036100804,24.9488218261
"265",15.1822102142,1.7905125733,24.3355348031
"266",15.1813270698,1.7259902292,23.5831786433
"267",15.1859709771,1.7644413413,24.8918686527
"268",15.1826116029,1.6515048507,26.3329163746
"269",15.1844542893,1.5760121453,27.4231573629
"270",15.1826011703,1.589341361,25.9150091908
"271",15.1844458652,1.5753325454,23.1919897467
"272",15.180998952,1.3098374019,21.2757696971
"273",15.1831168742,1.2017549917,21.5624480535
"274",15.1796764702,0.2171568624,21.7778614371
"275",15.184470617,0.2129451424,20.3428902478
"276",15.1826884371,0.2139076647,19.2393530412
"277",15.174276573,0.3252480046,18.3502816045
"278",15.1735984054,0.4139034025,19.514318387
"279",15.1712972442,0.1134182128,18.4852918599
"280",15.1029200261,0.0899161464,17.9791276571
"281",15.1402210214,0.0038684554,17.4886666883
"282",15.1441467093,0.0047957392,16.1706979682
"283",15.1346296507,0.0049098574,16.3485962011
"284",15.1400093452,0.0049230427,16.4810873347
"285",13.9763423698,0.0128548785,15.4048070776
"286",14.3158783133,0.0090428312,13.5558491407
"287",15.1569123989,0.0062285316,13.4234266196
"288",15.3077937036,0.0035220659,12.5807658541
"289",15.3194876256,0.0035361199,11.4645307611
"290",15.2234934252,0.0035353813,10.4424720647
"291",15.2004456272,0.003535351,10.6007478627
"292",15.232352578,0.0035422702,10.3533396868
"293",15.1336163213,0.0035464616,10.1968191488
"294",15.1499588703,0.0035596417,9.8455715792
"295",15.2798740446,0.0035472956,9.744221668
"296",15.1414382267,0.0035293449,10.4037412788
"297",15.149919718,0.0035271154,9.9781539047
"298",15.2828254079,0.0035415947,9.2678195097
"299",15.2207520189,0.0047230082,9.4855911902
"300",15.4113639732,0.003933528,9.2992359654
"301",15.3671462995,0.0035184075,9.218175061
"302",15.3150515139,0.0035257373,8.9581475837
"303",15.4446645802,0.005134565,8.8875598576
"304",15.2749159054,0.0070542425,9.6345086987
"305",15.3616171045,0.0049185033,9.8559668278
"306",15.4364082836,0.0049046569,9.1876584633
"307",15.313640115,0.004905104,9.1581446486
"308",15.4919307106,0.0049155817,9.1116090747
"309",15.3269004058,0.0049418848,9.4606100748
"310",15.3220669089,0.0049635481,9.6022331253
"311",15.4833840719,0.00388132,10.945133623
"312",15.2836538361,0.0285539963,10.3528344955
"313",15.2034747537,0.3022578254,11.1598953276
"314",15.2066787368,0.2706774769,11.8893439199
"315",15.203418541,0.218959609,13.2441922068
"316",15.2023324625,0.3783703495,11.9825390981
"317",15.2028744584,0.2126035577,12.865508604
"318",15.2018314591,0.3983763594,14.0747157948
"319",15.1993601586,0.5550256214,14.5399514471
"320",15.1940600218,0.6074380882,14.564713484
"321",15.1960437583,0.7976610408,16.4287393299
"322",15.1815253349,0.4780640043,16.0648143142
"323",15.1866725514,1.0765010028,16.0893012207
"324",15.1889635466,1.3483472694,16.3239944109
"325",15.2007110783,1.4419204774,18.0198087783
"326",15.2296554702,1.3280331335,16.8458030194
"327",15.272502273,1.4164105768,14.9709114791
"328",15.3912587457,1.32135693,17.0499030591
"329",15.5264728828,1.3963480385,20.2890693082
"330",15.5610855633,1.3033193052,17.2752369635
"331",15.4149710025,1.3637187747,19.4129068311
"332",15.6928181249,1.3057770071,15.5237730569
"333",15.8426597678,1.4050083644,15.3858839083
"334",15.9233563063,1.3938639203,17.0478124339
"335",15.6643389349,1.3802962089,19.1461690347
"336",15.7177358341,1.4026167804,19.5763196652
"337",15.7661161809,1.9596910658,18.3117729209
"338",16.0571742629,1.986937254,19.4964269059
"339",16.0920390807,1.5811059613,16.6875433513
"340",15.9943378148,1.4011771308,15.2915896671
"341",15.6344534171,1.3532996557,15.5543125604
"342",15.5400943982,1.4153923674,15.9285051304
"343",15.4761341324,1.320788363,14.7965800172
"344",15.3769010436,1.4345687478,17.6017745883
"345",15.3993811114,1.3114576326,15.9339754039
"346",15.4448605648,1.4410060265,16.5839697571
"347",15.4193390556,1.291897145,17.0488642176
"348",15.2988551837,1.4731747644,17.6293427467
"349",15.3590714625,1.274777041,19.3656367397
"350",15.3652184828,1.4796961626,16.5927003506
"351",15.2619944186,1.251548437,16.4227151026
"352",15.1965634965,1.5154573095,17.8174188666
"353",15.1951796187,1.2323370079,17.3042779842
"354",15.1918711637,1.5493865238,17.5791534036
"355",15.1948167271,1.2532522635,18.6008072942
"356",15.2012579647,1.5447226015,20.6684760916
"357",15.195642471,1.498215555,21.1121729296
"358",15.1891363359,1.5960390816,22.4264839147
"359",15.190457547,1.5640255883,22.8670959195
"360",15.1947096328,1.8198305127,24.8512852622
"361",15.1958806553,1.482149117,27.7951624317
"362",15.197015034,1.5018874854,27.6807447
"363",15.1970407964,1.4303202405,24.6986589983
"364",15.1999531626,1.4141610647,26.438116146
"365",15.2073002011,1.2808079401,26.612154899
"366",15.2067038882,1.2736036394,27.8157170848
"367",15.2020358783,1.2536062335,28.460915281
"368",15.2041363108,1.2481033079,26.4859200259
"369",15.1994203839,1.2696326587,25.800295707
"370",15.1993915786,0.4884214196,23.9789697344
"371",15.1978254317,0.2131409962,22.7764223166
"372",15.1955495816,0.2149838449,21.9801897706
"373",15.1935348621,0.2214312245,21.8991146981
"374",15.1967187401,0.2130645273,20.3976361716
"375",15.2010870362,0.1134125069,18.996199362
"376",15.1235492536,0.0929691163,20.5553097561
"377",15.1556681084,0.0038868522,19.9390598996
"378",15.1642931938,0.0048294415,18.4416693904
"379",15.1551571844,0.0049589887,17.4785754572
"380",15.1598900036,0.0049722074,16.1803964959
"381",13.8888406589,0.0130652981,14.6680383887
"382",14.1095888182,0.0092711445,12.8814147431
"383",15.287858378,0.0044354861,12.3828465237
"384",15.1674209582,0.0035378331,11.9180448268
"385",15.2958082254,0.0035149722,11.5814791138
"386",15.3703609272,0.0035293677,11.0005539103
"387",15.1545998053,0.003787522,10.171287375
"388",15.1471299192,0.0035326511,10.4406841399
"389",15.1431509177,0.0035601326,10.5011957755
"390",15.2865168412,0.0035664421,9.6100396356
"391",15.1385265419,0.010982973,9.1372238052
"392",15.1422789862,0.0035682929,9.6793202115
"393",15.2934000259,0.0035546061,10.5219883337
"394",15.1490837613,0.0035113614,9.4583339249
"395",15.1998393755,0.0046752055,9.4416466993
"396",15.4569373338,0.003951801,9.1307593884
"397",15.3285588054,0.003520851,9.1782321334
"398",15.3172991133,0.0035324674,9.5105001718
"399",15.6451497446,0.0049631252,9.0841557706
"400",15.3936040615,0.007365073,8.8359395528
"401",15.4391019191,0.0049020063,9.2182009332
"402",15.3546386806,0.0049053617,8.7355050001
"403",15.314450038,0.0049187451,8.9131933432
"404",15.4834737251,0.0049101069,9.51351382
"405",15.3135666004,0.0049331513,10.4355607943
"406",15.4043461943,0.0049336891,10.1074153411
"407",15.3897178645,0.0038985108,10.6934648471
"408",15.2932681608,0.0228264388,11.3493860391
"409",15.2096998963,0.3738683012,11.7382720321
"410",15.2088186938,0.2136671406,11.3776884965
"411",15.2051381976,0.3075979855,12.0952369256
"412",15.2074327305,0.2883987749,13.5562327407
"413",15.201448911,0.2194696758,12.6225946984
"414",15.2046228128,0.3826547798,13.9203211611
"415",15.2148148199,0.5743255641,13.9444742343
"416",15.2176869103,0.5026468952,14.9778075913
"417",15.2148776397,0.5375439044,14.877516066
"418",15.2149449472,0.5006567155,14.1145845891
"419",15.2125598285,0.4153464841,14.6444314671
"420",15.2163982664,1.3948943473,15.5959599292
"421",15.2628953143,1.5714627226,15.806187773
"422",15.3701783083,1.8318826576,17.3038614261
"423",15.4443722839,1.556571406,17.5875971137
"424",15.6440903279,1.7882964327,18.3143954296
"425",15.7585009682,1.535143747,15.753026264
"426",15.9316973765,1.7326481167,14.8694997192
"427",16.0578691041,1.5531823034,15.6856796681
"428",16.1055577361,1.7069302918,16.4031155412
"429",16.1901280044,1.5775047848,15.4450088355
"430",16.5269646619,1.7136816305,16.2232719166
"431",16.6450911169,1.5449669205,15.3541149476
"432",16.8254336486,1.7259515066,16.9847093227
"433",16.962053015,1.5447561724,16.542979863
"434",16.9754921951,1.7038653526,16.5858824009
"435",16.5590602848,1.7028183352,16.9662126615
"436",16.2621933375,1.8822421074,16.2168618562
"437",16.1808638285,1.6089056164,17.8653448181
"438",16.0751554887,1.7326560758,17.484987628
"439",15.8504122144,1.6364395338,17.0001346465
"440",16.0199534448,1.6772744767,18.3207342201
"441",16.0986345181,1.6453874472,16.475992942
"442",15.8351610066,1.6233613621,17.185298782
"443",15.7612451897,1.6686893138,16.2082165811
"444",15.7022668049,1.6130690408,18.4140261566
"445",15.6044685417,1.6793883188,18.1103312029
"446",15.5635134513,1.5798936494,21.2243333048
"447",15.4152350166,1.4151330771,17.516219239
"448",15.2685306634,1.2643494812,17.7311328761
"449",15.2416603435,1.4476633784,16.693516952
"450",15.2058165474,1.2333814537,17.7767323973
"451",15.1991905415,1.6453315898,19.2729537903
"452",15.2032496928,1.2423080932,19.2244039313
"453",15.2010414927,1.5627908951,21.5957629082
"454",15.1909821757,1.3457127271,21.6278082294
"455",15.1921822388,1.9256597552,22.0094254348
"456",15.1941911268,1.6033585359,25.0534733616
"457",15.1998488118,1.9158202338,24.1466775919
"458",15.1982884945,1.5924810188,25.1179598038
"459",15.1967730187,1.9160493563,26.4163913042
"460",15.1979427189,1.6021717649,25.2817128992
"461",15.2027969101,1.579485118,25.0148603274
"462",15.2007785712,1.5641902365,24.3991868959
"463",15.1976342154,1.501528006,24.3058594285
"464",15.1970888771,1.2496500409,23.5327073201
"465",15.2025469532,1.262201145,23.3221832664
"466",15.204536133,0.8341618813,22.4880365502
"467",15.2001281937,0.2535820562,23.3541534948
"468",15.1991376948,0.4635781919,22.6880361636
"469",15.2003657818,0.2307541016,20.363051603
"470",15.1999308341,0.2246457263,19.7543509258
"471",15.2044399987,0.1130699233,19.7483079693
"472",15.1190507724,0.0851955535,19.0235969964
"473",15.1941848463,0.0038732453,17.5668031507
"474",15.2774491161,0.0048600111,17.4056645341
"475",15.1499635412,0.0095037855,17.3660327796
"476",15.2851229328,0.0049739431,17.9185994201
"477",13.9085043002,0.0130542665,15.5935438969
"478",14.6741171141,0.0079736104,14.6535420766
"479",15.2975083521,0.0039383664,13.2804910158
"480",15.1517248465,0.0035678074,13.450095462
"481",15.3086620717,0.003538771,13.1605650971
"482",15.1667856118,0.0035359887,12.5168107025
"483",15.1518805752,0.0035635147,12.327995179
"484",15.2989715343,0.0035845848,11.9451808601
"485",15.1585053314,0.0035682514,11.5544406284
"486",15.3191578359,0.0035379235,11.1400302343
"487",15.1476925332,0.0035293899,10.387343956
"488",15.3150463732,0.0035365116,10.8667919898
"489",15.1520289954,0.0035491436,10.3766403215
"490",15.421274897,0.0035598685,10.8564950999
"491",15.3498420585,0.0047042258,10.938394341
"492",15.461001641,0.0039676258,11.1836704342
"493",15.3635059568,0.0035495385,10.2447709747
"494",15.4885738936,0.0035583455,10.614893063
"495",15.3297390225,0.0048289577,10.3009492703
"496",15.4513407541,0.0072512236,10.3130411216
"497",15.3245990004,0.0049377802,10.3167266492
"498",15.4979023564,0.0049295245,10.5870919481
"499",15.3118446618,0.0049291644,10.8306740091
"500",15.5116837669,0.0049425834,10.4969885429
"501",15.3087069601,0.0049264505,10.5889637239
"502",15.4876023211,0.0049227957,10.5353958966
"503",15.3208306772,0.0038954456,11.5928428704
"504",15.4636171697,0.044431458,12.8461015156
"505",15.2181987813,0.2137113335,13.7069430865
"506",15.2184332022,0.4006488901,14.2308065606
"507",15.215899647,0.2735406062,13.7383199224
"508",15.2146555933,0.3640918194,12.5727442837
"509",15.2148554704,0.3099227559,13.6556628103
"510",15.2133772409,0.4249282031,14.0316063002
"511",15.2075042697,0.8032801944,14.3465630312
"512",15.2169638207,0.4982415887,15.8216610249
"513",15.2100572952,0.4640837501,18.488502721
"514",15.207161763,0.4590489245,16.0028796073
"515",15.208260717,0.4630369861,17.1427720554
"516",15.2131938571,0.2886253266,18.0203902292
"517",15.3184373846,0.4456837859,18.3233157656
"518",15.5078801935,0.3793330093,17.368502951
"519",15.6536596869,0.3337045731,17.4287824537
"520",15.7265646153,0.4532878106,17.1382547626
"521",15.7265035696,0.2568053786,19.9671500572
"522",15.8858731017,0.4434491021,16.0657169929
"523",16.1745430393,0.2558566663,17.7775738717
"524",16.2687193183,0.4379877064,19.0413333795
"525",16.3852460425,0.3272793223,21.9197719363
"526",16.1340673936,0.3294558038,18.8402004935
"527",16.078853853,0.4213072049,17.5824785244
"528",16.1486675738,0.2294855612,19.0223119731
"529",16.1836791381,0.4428348701,18.2758968115
"530",15.845676848,0.1845383259,17.7258406791
"531",15.8726216116,0.4538200282,16.2718896217
"532",16.2609114591,0.1989078076,17.4242515517
"533",16.4813202446,0.4457981752,16.8264118091
"534",16.4584783083,0.199430472,19.070883883
"535",16.3665069435,0.4534764231,19.3401190257
"536",16.1941168795,0.1935388383,17.641778064
"537",15.8457444823,0.4413554133,15.0059661219
"538",15.6536056416,0.1943142,18.2702038197
"539",15.813191856,0.4446936857,17.5667408616
"540",15.7094513161,0.1956975169,17.3430367465
"541",15.6187452542,0.4176742774,18.9452001147
"542",15.507811111,0.2193615861,18.3772492989
"543",15.4103213127,0.3976006452,16.9614974639
"544",15.293945523,0.2354602744,17.3416562157
"545",15.2149117079,0.3887224421,15.962879674
"546",15.1809649742,0.2817644236,16.4770846533
"547",15.1797610702,0.3782167257,18.9780225893
"548",15.1860840375,0.2807240959,20.8995022366
"549",15.1865572684,0.3999924189,25.2962598359
"550",15.1875864571,0.3953209541,25.6728779677
"551",15.1989815103,0.4795986911,30.3940399223
"552",15.1967534715,0.3721854217,26.3535254692
"553",15.1924303682,0.4802849778,25.3995280761
"554",15.1884478233,0.4503967586,25.3809003665
"555",15.1888800108,0.7122061071,27.7024693734
"556",15.1893432572,0.4353723535,26.7498147378
"557",15.1922866944,0.2436660903,25.4275364532
"558",15.187860574,0.2147622333,26.5055494881
"559",15.1825812127,0.2129443239,27.468977362
"560",15.187937679,0.2137885306,25.7888949686
"561",15.1895017414,0.2240202593,24.7398706828
"562",15.1936441291,0.213140264,23.8614471446
"563",15.1909142712,0.2115472309,21.8541654764
"564",15.1909958502,0.2148081764,21.9275123738
"565",15.186666041,0.3458255596,20.3971366088
"566",15.1894923131,0.2326640761,20.5813949031
"567",15.1918269072,0.1663126178,20.8067701884
"568",15.1088221069,0.2036237943,19.6987698983
"569",15.1596440342,0.0038669872,17.8408236513
"570",15.3103585996,0.0048184718,17.5446132655
"571",15.139590991,0.0108826126,17.112019888
"572",15.3164783743,0.004926099,16.1237079298
"573",13.8920715352,0.0129646388,16.1570637974
"574",15.0587933956,0.0074262237,17.4647523953
"575",15.1562244855,0.0064803066,14.8640908202
"576",15.3360179246,0.0035459232,13.7510409349
"577",15.1456093474,0.003551381,13.2402426478
"578",15.3284904656,0.0035607577,12.7491188364
"579",15.1427370832,0.0035525241,12.7835568165
"580",15.3370607914,0.0035333794,13.6042108756
"581",15.1411988739,0.0035547721,13.096439609
"582",15.3184773603,0.0035609736,12.9507748224
"583",15.1459202678,0.0035728946,10.8812614444
"584",15.3336733629,0.0035654877,10.5506543335
"585",15.284168684,0.0035512634,10.4694875076
"586",15.4434776082,0.0035274877,10.591873154
"587",15.4605617707,0.0047203476,10.8646463585
"588",15.361843536,0.003935624,11.2735469796
