"","V1","V2","V3","V4","V5","V6","V7","V8"
"122",0.1605168584,-0.2653897068,-0.0024790055,-0.0024249749,-2e-06,1.344865252,12.3619129389,1.343554131
"123",0.1593476713,-0.3322223215,-0.0024816993,-0.0024405867,-2.6e-06,1.3467892092,12.362834191,1.3441464352
"124",0.1582977847,-0.2281920692,-0.002477787,-0.0024322915,-3.4e-06,1.3458203242,12.3623199411,1.3435255899
"125",0.1581146466,-0.3725962768,-0.0024731935,-0.0024121641,-1.5e-06,1.3476169326,12.3615483635,1.3408930674
"126",0.1550843877,-0.2358453145,-0.0024760138,-0.0024065462,-2.6e-06,1.3442670994,12.3626678794,1.3402071637
"127",0.1468963252,-0.5577449449,-0.0024735217,-0.0023570447,-2.3e-06,1.3445653339,12.3624860276,1.3422652672
"128",0.1463527052,-0.682447335,-0.0024739597,-0.002103232,-2.3e-06,1.3463121371,12.3617472439,1.3421879626
"129",0.1529550172,-0.6676657717,-0.0024768275,0.0134610545,-9e-07,1.3441992761,12.3621093739,1.3417138983
"130",0.1527168985,-1.2058205008,-0.0024812073,0.1609911085,-2e-06,1.3441283949,12.3675903766,1.3412769853
"131",0.1523062351,-1.6725918179,-0.0024827303,0.3417249882,-3e-07,1.343192305,12.3624572179,1.3413229456
"132",0.1518971017,-1.8667658274,-0.0024848876,0.624375172,-1.7e-06,1.3456942162,12.361455015,1.3432530564
"133",0.1515209226,-1.5592270769,-0.0024862448,0.8207634027,-1.2e-06,1.3450103519,12.3608564185,1.3444549398
"134",0.1485224684,-1.8623636483,-0.0024949005,0.786704258,-8e-07,1.3477582199,12.3610793059,1.3444470466
"135",0.1526575338,-1.5784057456,-0.002488478,0.9880826983,-9e-07,1.3480983546,12.3608999339,1.344149309
"136",0.1529537643,-1.8526318078,-0.0024842082,1.1100948547,-1.4e-06,1.3472343572,12.3598548451,1.3434105903
"137",0.1519538301,-1.8657115677,-0.0024909045,1.037463257,0.0017349025,1.3421074115,12.3608051748,1.3434775597
"138",0.150953177,-1.8387990092,-0.0024976122,1.2060434553,0.0084332028,1.3432367536,12.3612547069,1.3440177604
"139",0.1489173296,-1.6141424068,-0.0025048862,1.1000985116,0.0089259968,1.3442569985,12.3572303039,1.3454601131
"140",0.1530070815,-1.7852181678,-0.0024270227,0.8815833564,0.0100734853,1.3461703018,12.3585336025,1.3448394111
"141",0.1518060948,-1.6200145005,-0.0024980257,1.0101882296,0.0093788087,1.3477185149,12.3614728886,1.3425829197
