"","V1"
"749",29.6438552201
"750",30.5564420318
"751",28.8890540067
"752",27.9808608245
"753",26.9678748409
"754",24.6112087996
"755",23.7036090145
"756",22.7267853953
"757",23.484565592
"758",22.6477237645
"759",22.7329574467
"760",22.863303378
"761",20.5172314465
"762",18.6380188028
"763",17.065673961
"764",16.2596720002
"765",16.7043340167
"766",16.4172172774
"767",15.1744529287
"768",12.1891786583
"769",10.6562754085
"770",11.5843600791
"771",11.0983927858
"772",10.0186217795
"773",10.1614571329
"774",9.4897944139
"775",9.8191783681
"776",9.7891822824
"777",10.4801747437
"778",10.0159445006
"779",9.965832995
"780",9.5812792522
"781",9.4065416607
"782",9.3284249959
"783",9.2800181092
"784",9.166651987
"785",9.6486443719
"786",10.1007504694
"787",10.0853098415
"788",9.8636304086
"789",11.1383071277
"790",10.5727610217
"791",11.8847187137
"792",12.7646295819
"793",14.4824830779
"794",15.0782067706
"795",16.3260650148
"796",17.7227495135
"797",18.8599941678
"798",19.9621396037
"799",16.7253847419
"800",17.5381141664
"801",19.7616196651
"802",19.7252123944
"803",17.8106735657
"804",18.5634195798
"805",21.0343341775
"806",19.1468153237
"807",16.7006533048
"808",17.5119018668
"809",17.1193365171
"810",16.2931234727
"811",17.7630969619
"812",16.7430918569
"813",17.104012411
"814",16.3692106303
"815",17.5943446183
"816",20.932706564
"817",19.2475068983
"818",19.2696587104
"819",18.9476832232
"820",18.5188617194
"821",18.5724248547
"822",18.009706997
"823",18.2397105063
"824",15.5939379507
"825",16.499870523
"826",16.7324239886
"827",18.7230155619
"828",18.1976095383
"829",17.9893329893
"830",15.8441213723
"831",18.3174886744
"832",16.3917281426
"833",17.641691981
"834",18.5863520392
"835",20.2273972768
"836",23.1041757001
"837",23.3622042951
"838",24.9435045046
"839",24.9941568032
"840",25.147983609
"841",25.6791251779
"842",26.7018490385
"843",27.5046827752
"844",26.6331862942
"845",26.2238256806
"846",30.2860617299
"847",27.741382434
"848",26.0162675074
"849",26.409593433
"850",25.1377836982
"851",24.2823941256
"852",22.8618668783
"853",21.4970595619
"854",21.9545680264
"855",20.759456345
"856",19.7086224848
"857",19.1350582569
"858",18.0839386081
"859",16.7529341659
"860",15.550273205
"861",14.6849855483
"862",13.6195338687
"863",12.5592571978
"864",12.1886531707
"865",11.2459148984
"866",11.5040925778
"867",10.6549553103
"868",9.9055557133
"869",9.4398561425
"870",8.8817626318
"871",9.5908114341
"872",8.9294543159
"873",9.3214955999
"874",8.9230943262
"875",8.7937612528
"876",8.6071664949
"877",9.3645122957
"878",9.4768398803
"879",9.4876982817
"880",8.9922279846
"881",8.8413092822
"882",9.2052273794
"883",9.4332946684
"884",9.8637826629
"885",13.1343867935
"886",13.2949856288
"887",11.2115097292
"888",11.8221453256
"889",14.3850424509
"890",15.9965295438
"891",15.5197543906
"892",15.5467859949
"893",16.9931209903
"894",16.4525281517
"895",16.8150518506
"896",17.9947728317
"897",16.8586930213
"898",18.7074925807
"899",18.3389389542
"900",18.7856407276
"901",17.5538239178
"902",18.2420413096
"903",15.5648070019
"904",16.0566334578
"905",14.2039063285
"906",18.1191066657
"907",18.3225301063
"908",16.4580946704
"909",17.363251292
"910",17.8465154066
"911",16.634322197
"912",16.2176073323
"913",18.102369441
"914",18.4964075782
"915",18.6613167612
"916",17.6365964108
"917",16.2207563404
"918",18.0472960348
"919",17.1757576385
"920",15.9654619903
"921",16.6553728921
"922",17.5621039902
"923",16.8302878086
"924",16.4786487974
"925",16.8842428801
"926",16.2860304888
"927",15.6896957502
"928",15.5060911967
"929",18.913999526
"930",19.7874840156
"931",21.4961427549
"932",21.5930315801
"933",22.507269854
"934",23.7789447804
"935",25.4565216967
"936",27.5111540435
"937",29.8475283777
"938",29.1397788732
"939",28.494564516
"940",29.2514550518
"941",27.0426050836
"942",28.6658693684
"943",28.0698164708
"944",26.3637951828
"945",26.1781271895
"946",24.5332168572
"947",24.1774339181
"948",21.6881596632
"949",22.0417564528
"950",22.2551635163
"951",20.3921474755
"952",19.6745175455
"953",19.7603926678
"954",17.3843278876
"955",17.2110488695
"956",17.6067849683
"957",17.0370194568
"958",15.0183228862
"959",14.2035865365
"960",12.96844802
"961",11.6964076917
"962",11.6847266724
"963",10.3403637933
"964",9.7299492886
"965",9.6659751355
"966",9.6457263201
"967",8.847933242
"968",8.6901573128
"969",8.9898223354
"970",9.2067351242
"971",8.826144025
"972",8.5055651326
"973",9.06795333
"974",8.9936551977
"975",8.8535768314
"976",8.6440399601
"977",8.7603903623
"978",9.5520752559
"979",10.6899188948
"980",8.7622550725
"981",10.7758212985
"982",11.2341916701
"983",11.7074641128
"984",11.1394796695
"985",12.4090323414
"986",14.6688224714
"987",15.228874712
"988",15.8629464658
"989",16.1255488055
"990",17.5268230465
"991",20.1167549009
"992",17.4153586305
"993",19.9352454175
"994",21.3982189236
"995",19.6940036049
"996",19.4598421809
"997",21.6506577101
"998",20.6756700887
"999",17.5240612273
"1000",20.3355552282
"1001",19.8177945401
"1002",20.2474255299
"1003",20.1403442259
"1004",20.496103993
"1005",18.3969985465
"1006",19.1884906352
"1007",18.9068908931
"1008",24.6899601668
"1009",21.5860425372
"1010",18.2570337036
"1011",16.8634516539
"1012",15.7976896826
"1013",19.0987788468
"1014",21.0047847354
"1015",21.2234174104
"1016",19.0643261485
"1017",16.7679936106
"1018",16.5748438401
"1019",17.7623617496
"1020",17.2622916832
"1021",19.799500479
"1022",18.8019656465
"1023",18.041961123
"1024",19.2816547009
"1025",19.1956464057
"1026",19.4607676547
"1027",20.8652129209
"1028",23.2872626823
"1029",23.3648421761
"1030",23.9804954848
"1031",23.9538225814
"1032",26.4637568955
"1033",27.3553204512
"1034",28.6102618393
"1035",28.50722212
"1036",29.067212918
"1037",30.629966049
"1038",29.8931738304
"1039",28.1396056589
"1040",25.3690282711
"1041",23.6064488563
"1042",24.0971325144
"1043",22.4468305886
"1044",21.2070373066
"1045",19.6085025613
"1046",19.0825237924
"1047",19.3843656484
"1048",18.2672219805
"1049",17.8441811209
"1050",16.3421384823
"1051",16.1900157557
"1052",17.7380390785
"1053",15.5432201733
"1054",14.5724778575
"1055",12.2155891857
"1056",11.2975963841
"1057",10.9265785415
"1058",9.9133382762
"1059",9.4078228112
"1060",9.28544994
"1061",8.7215040511
"1062",8.901007844
"1063",8.4462040173
"1064",8.3702135853
"1065",8.4036441709
"1066",8.777009063
"1067",8.7141510087
"1068",8.2302460624
"1069",8.7970161308
"1070",8.9589723708
"1071",8.9938679073
"1072",8.6393971145
"1073",8.7070481762
"1074",8.8115753615
"1075",8.9997036263
"1076",9.1867395043
"1077",10.8877301738
"1078",10.4827314423
"1079",10.1827993454
"1080",12.0003033397
"1081",13.0415819964
"1082",14.1363907958
"1083",15.5382237115
"1084",15.0626315735
"1085",19.4883371086
"1086",16.68049801
"1087",17.8985120007
"1088",16.1179471891
"1089",21.6699783955
"1090",20.6719156047
"1091",20.2159651336
"1092",20.2068900451
"1093",16.1588634941
"1094",17.0141804124
"1095",17.6127155476
"1096",15.9857085256
"1097",15.8465903962
"1098",16.9425475445
"1099",15.3716541692
"1100",15.9228935009
"1101",17.719797202
"1102",18.168263092
"1103",17.7237082703
"1104",18.228100135
"1105",17.0801687017
"1106",16.1890705142
"1107",16.1091768703
"1108",16.6788098182
"1109",17.2741737889
"1110",18.7470085017
"1111",18.9716241894
"1112",19.915991306
"1113",17.6639232944
"1114",16.8942391979
"1115",18.4093481688
"1116",18.4806958491
"1117",17.6910466149
"1118",18.8514009011
"1119",17.602758806
"1120",16.8039755735
"1121",15.800795455
"1122",17.7223504693
"1123",18.8171264433
"1124",22.8358300735
"1125",22.5793997538
"1126",22.71987519
"1127",23.8058915426
"1128",24.7378029176
"1129",26.8553111785
"1130",27.5613629007
"1131",24.439816033
"1132",26.7875074827
"1133",25.5952140157
"1134",24.4033992899
"1135",25.8748275393
"1136",25.6281509284
"1137",23.1029039721
"1138",22.4312492549
"1139",21.4056954544
"1140",20.2374231855
"1141",19.4505683084
"1142",19.9746994677
"1143",20.7993037251
"1144",19.7478557511
"1145",18.1087285131
"1146",17.4139784295
"1147",16.4980183277
"1148",14.9974587714
"1149",14.1588458614
"1150",12.589958423
"1151",12.3194858346
"1152",12.0119771984
"1153",11.4282446927
"1154",11.040017967
"1155",10.7933394699
"1156",11.1529022868
"1157",9.8322029894
"1158",9.1617441932
"1159",9.6556787572
"1160",9.4629024564
"1161",8.7966726085
"1162",8.784762027
"1163",8.6288797169
"1164",9.0079305632
"1165",8.9702211996
"1166",8.2963295522
"1167",8.5091980292
"1168",8.8446997837
"1169",9.468533972
"1170",8.9278356087
"1171",9.1889179427
"1172",9.3894014484
"1173",9.5207462859
"1174",10.3822409624
"1175",11.380571564
"1176",10.9968197195
"1177",12.4788002027
"1178",15.9293168965
"1179",15.9128620526
"1180",14.7802266723
"1181",16.8895120273
"1182",18.6576909187
"1183",17.0287778245
"1184",15.9239902797
"1185",16.1585544434
"1186",17.9633070125
"1187",17.6418979898
"1188",17.8828761019
"1189",18.6645378875
"1190",21.2439487612
"1191",16.4441870373
"1192",17.1726589069
"1193",18.0130866671
"1194",19.0470243946
"1195",17.5751082475
